"mapid","adxcode","regioncode","time","win","weights"
1,"1","1156441900","9",1,244
1,"10","1156340100","9",0,334
1,"7","1156320100","9",0,119
1,"3","1156320500","9",1,157
1,"1","1156610100","9",0,201
1,"3","1156310000","9",0,506
1,"6","1156420200","9",0,28
1,"2","1156330700","9",0,190
1,"5","1156230100","9",0,92
1,"7","1156330100","9",0,380
1,"7","1156230100","9",1,110
1,"4","1156210200","9",0,235
1,"10","1156220700","9",1,12
1,"2","1156370900","9",0,74
1,"10","1156350200","9",0,285
1,"5","1156440500","9",1,444
1,"10","1156610800","9",0,47
1,"2","1156450300","9",0,25
1,"4","1156350500","9",0,46
1,"10","1156411100","9",0,95
1,"5","1156140100","9",0,937
1,"10","1156440100","9",0,3891
1,"1","1156430300","9",1,18
1,"1","1156230700","9",1,21
1,"3","1156220100","9",1,50
1,"2","1156210200","9",1,182
1,"10","1156140200","9",0,156
1,"4","1156370100","9",0,95
1,"5","1156370100","9",0,195
1,"2","1156451000","9",1,29
1,"7","1156110000","9",0,391
1,"2","1156450100","9",1,51
1,"8","1156310000","9",1,6
1,"6","1156210100","9",1,68
1,"7","1156421200","9",0,34
1,"4","1156431000","9",1,70
1,"5","1156371500","9",0,72
1,"7","1156360300","9",1,7
1,"7","1156440300","9",1,1447
1,"2","1156640100","9",1,27
1,"8","1156370100","9",1,100
1,"4","1156411600","9",1,38
1,"1","1156320300","9",0,82
1,"7","1156230700","9",1,18
1,"5","1156411700","9",0,81
1,"9","1156430700","9",1,69
1,"10","1156140400","9",1,20
1,"4","1156510100","9",0,352
1,"4","1156440100","9",1,2612
1,"5","1156500000","9",1,248
1,"2","1156130200","9",1,51
1,"8","1156440100","9",1,1600
1,"1","1156141000","9",0,451
1,"10","1156210300","9",0,77
1,"3","11560","9",1,44
1,"2","1156150600","9",0,95
1,"10","1156650100","9",1,44
1,"7","1156433100","9",0,84
1,"5","1156140100","9",1,71
1,"8","1156220100","9",0,69
1,"9","1156371700","9",0,90
1,"10","1156210200","9",1,35
1,"10","1156140400","9",0,48
1,"7","1156310000","9",0,123
1,"4","1156520100","9",1,65
1,"2","1156441900","9",0,3868
1,"3","1156330100","9",0,519
1,"5","1156370200","9",1,161
1,"8","1156130500","9",0,193
1,"1","1156110000","9",1,415
1,"6","1156450100","9",0,98
1,"4","1156430100","9",1,255
1,"4","1156350300","9",0,64
1,"7","1156441400","9",1,149
1,"2","1156360100","9",0,66
1,"9","1156420600","9",1,12
1,"3","1156370200","9",0,111
1,"5","1156361000","9",0,34
1,"3","1156331000","9",1,48
1,"10","1156210700","9",0,9
1,"3","1156410100","9",0,4
1,"9","1156450400","9",0,27
1,"10","1156652800","9",1,1
1,"2","1156500000","9",0,135
1,"4","1156500000","9",0,574
1,"8","1156330100","9",1,195
1,"4","1156341800","9",0,38
1,"5","1156341300","9",0,48
1,"8","1156511300","9",0,1
1,"3","1156371300","9",0,135
1,"2","1156442000","9",0,1785
1,"9","1156210600","9",0,20
1,"1","1156610300","9",1,21
1,"4","1156320700","9",0,137
1,"1","1156530400","9",1,32
1,"2","1156330300","9",1,61
1,"9","1156500000","9",1,102
1,"5","1156350200","9",1,49
1,"5","1156510600","9",0,33
1,"10","1156120000","9",0,50
1,"4","1156140300","9",0,30
1,"4","1156210100","9",0,98
1,"3","1156141100","9",1,34
1,"4","1156420100","9",1,135
1,"4","1156610900","9",0,26
1,"10","1156320500","9",1,1
1,"9","1156430400","9",1,2
1,"10","1156131100","9",1,29
1,"5","1156440300","9",0,3550
1,"9","1156440900","9",0,1628
1,"6","1156441900","9",1,599
1,"6","1156430100","9",0,245
1,"10","1156130800","9",0,19
1,"2","1156360700","9",1,48
1,"8","1156370600","9",1,95
1,"6","1156130900","9",0,197
1,"6","1156130100","9",0,185
1,"7","1156430100","9",0,138
1,"2","1156131100","9",0,106
1,"2","1156532500","9",0,22
1,"6","1156370300","9",1,44
1,"9","1156431100","9",1,25
1,"2","1156140100","9",0,118
1,"1","1156411500","9",1,36
1,"10","1156150200","9",1,118
1,"2","1156330100","9",0,5
1,"8","1156441500","9",0,1082
1,"7","1156410100","9",1,168
1,"7","1156310000","9",1,26
1,"8","1156654000","9",1,22
1,"4","1156371100","9",1,43
1,"7","1156321300","9",0,88
1,"9","1156140100","9",1,88
1,"10","1156211300","9",0,14
1,"10","1156371100","9",0,64
1,"1","1156120000","9",0,3
1,"3","1156341000","9",0,12
1,"8","1156430200","9",0,53
1,"7","1156341600","9",0,28
1,"3","1156130100","9",0,4
1,"10","1156530400","9",1,17
1,"7","1156210400","9",1,21
1,"9","1156230200","9",1,25
1,"8","1156360700","9",0,80
1,"7","1156130600","9",0,1662
1,"7","1156320500","9",1,59
1,"9","1156430700","9",1,1
1,"4","1156320100","9",0,197
1,"6","1156321100","9",1,31
1,"3","1156440300","9",1,2688
1,"1","1156350500","9",1,2
1,"8","1156420100","9",1,131
1,"9","1156140800","9",1,21
1,"9","1156350100","9",0,62
1,"3","1156520300","9",0,70
1,"10","1156230100","9",0,2511
1,"8","1156370900","9",1,76
1,"9","1156411600","9",0,118
1,"9","1156340400","9",0,67
1,"10","1156610400","9",1,39
1,"3","1156430100","9",0,24
1,"2","1156340500","9",0,12
1,"9","1156370200","9",0,191
1,"10","1156140200","9",1,33
1,"4","1156150200","9",0,143
1,"6","1156511400","9",0,21
1,"6","1156130700","9",1,29
1,"10","1156430500","9",1,47
1,"3","1156120000","9",0,217
1,"2","1156420300","9",0,18
1,"5","1156230100","9",1,9
1,"1","1156420800","9",1,22
1,"9","1156410500","9",0,115
1,"6","1156150600","9",1,52
1,"4","1156140600","9",0,140
1,"7","1156341700","9",0,28
1,"1","1156411400","9",0,9
1,"6","1156420600","9",0,46
1,"6","1156440100","9",0,12453
1,"4","1156310000","9",1,96
1,"4","1156130600","9",1,7
1,"10","1156411300","9",0,176
1,"3","1156610100","9",0,3
1,"6","1156430100","9",1,151
1,"3","1156530100","9",1,134
1,"2","1156110000","9",0,78
1,"9","1156410100","9",1,130
1,"6","1156450300","9",1,21
1,"3","1156140300","9",0,127
1,"3","1156410200","9",0,96
1,"3","1156140800","9",1,1
1,"6","1156231200","9",0,14
1,"10","1156130500","9",1,21
1,"9","1156511400","9",0,6
1,"4","1156230400","9",1,11
1,"9","1156411200","9",0,44
1,"6","1156370700","9",0,140
1,"5","1156140500","9",1,15
1,"4","1156440700","9",0,887
1,"4","1156140200","9",0,86
1,"7","1156440100","9",0,34
1,"1","1156210100","9",0,51
1,"8","1156450100","9",0,5
1,"6","1156321200","9",0,61
1,"6","1156620100","9",0,56
1,"2","1156330700","9",1,44
1,"8","1156320800","9",0,136
1,"2","1156410200","9",1,33
1,"10","1156620400","9",0,14
1,"7","1156340600","9",0,14
1,"10","1156340200","9",0,37
1,"10","11560","9",0,72
1,"3","1156211300","9",1,23
1,"3","1156370100","9",1,2
1,"8","1156131000","9",0,114
1,"6","1156350500","9",0,187
1,"6","1156421100","9",1,29
1,"9","1156420100","9",0,108
1,"2","1156441300","9",0,1747
1,"9","1156370100","9",1,61
1,"3","1156152200","9",1,10
1,"3","1156410300","9",0,86
1,"4","1156341100","9",1,59
1,"4","1156360600","9",1,6
1,"2","1156411000","9",0,100
1,"1","1156511700","9",1,52
1,"1","1156110000","9",0,28
1,"6","1156230100","9",1,111
1,"8","1156341500","9",0,20
1,"9","1156450800","9",1,27
1,"5","1156520100","9",0,111
1,"3","1156460100","9",0,64
1,"2","1156620100","9",1,53
1,"9","1156431000","9",0,55
1,"4","1156140800","9",1,60
1,"7","1156140100","9",0,85
1,"7","1156341100","9",1,16
1,"8","1156371200","9",1,8
1,"10","1156445100","9",1,126
1,"1","1156411600","9",0,49
1,"6","1156150600","9",1,1
1,"10","1156130100","9",1,122
1,"5","1156350400","9",0,41
1,"7","1156370500","9",1,42
1,"7","1156450400","9",1,24
1,"1","1156320200","9",1,13
1,"10","1156370800","9",0,97
1,"6","1156513400","9",1,21
1,"4","1156410900","9",0,68
1,"9","1156429000","9",1,24
1,"2","1156440100","9",0,3265
1,"8","1156440300","9",0,4283
1,"8","1156110000","9",0,5405
1,"8","1156650100","9",0,418
1,"5","1156610500","9",1,26
1,"4","1156360500","9",0,18
1,"3","1156350100","9",1,68
1,"8","1156150400","9",1,95
1,"9","1156410700","9",0,84
1,"2","1156511500","9",0,87
1,"1","1156510900","9",0,30
1,"8","1156440600","9",1,620
1,"1","1156330200","9",1,58
1,"4","1156445300","9",0,338
1,"10","1156330500","9",0,172
1,"8","1156320400","9",0,150
1,"5","1156441700","9",0,636
1,"3","1156330100","9",1,2
1,"6","1156230900","9",1,28
1,"5","1156141000","9",0,68
1,"6","1156411200","9",0,177
1,"3","1156411000","9",1,68
1,"6","1156110000","9",0,21
1,"8","1156520400","9",1,10
1,"2","1156330100","9",1,91
1,"3","1156410700","9",0,77
1,"1","1156360900","9",0,48
1,"1","1156371400","9",0,112
1,"9","1156371700","9",1,50
1,"7","1156520100","9",0,5
1,"4","1156371400","9",1,35
1,"6","1156530100","9",0,86
1,"2","1156610300","9",0,33
1,"8","1156320100","9",1,142
1,"1","1156445200","9",0,1075
1,"8","1156410400","9",0,86
1,"2","1156441600","9",0,489
1,"9","1156510100","9",0,3
1,"9","1156320200","9",0,128
1,"6","1156520300","9",1,36
1,"2","1156130100","9",0,323
1,"6","1156210300","9",0,39
1,"2","1156130500","9",0,109
1,"6","1156320600","9",0,82
1,"9","1156610700","9",0,23
1,"8","1156431200","9",0,42
1,"6","1156451300","9",0,14
1,"8","1156532500","9",0,14
1,"9","1156370800","9",1,53
1,"2","1156340100","9",0,2
1,"10","1156620800","9",1,12
1,"4","1156411500","9",0,62
1,"1","1156410500","9",1,38
1,"3","1156441500","9",0,594
1,"9","1156450900","9",0,8
1,"7","1156532500","9",1,21
1,"8","1156340100","9",1,163
1,"2","1156530100","9",0,139
1,"6","1156620800","9",0,14
1,"4","1156360600","9",0,2
1,"1","1156110000","9",0,2
1,"1","1156441900","9",0,4857
1,"5","1156441700","9",1,75
1,"5","1156431300","9",0,42
1,"2","1156131000","9",0,169
1,"2","1156410300","9",0,111
1,"4","1156341800","9",1,24
1,"7","1156341000","9",1,9
1,"5","1156440800","9",0,18
1,"10","1156445100","9",1,37
1,"8","1156610400","9",0,47
1,"4","1156110000","9",0,1152
1,"2","1156511600","9",0,31
1,"6","1156430300","9",0,28
1,"5","1156140800","9",0,423
1,"10","1156321000","9",0,89
1,"6","1156441400","9",0,606
1,"3","1156440700","9",0,1456
1,"5","1156450200","9",1,2
1,"9","1156410300","9",1,44
1,"5","1156420100","9",0,143
1,"7","1156441200","9",0,1939
1,"1","1156441300","9",0,3789
1,"2","1156411500","9",0,99
1,"10","1156320100","9",0,650
1,"9","1156330400","9",0,106
1,"7","1156440500","9",0,1349
1,"10","1156211100","9",1,6
1,"8","1156420600","9",0,7
1,"9","1156440100","9",1,6
1,"6","1156220200","9",1,47
1,"10","1156652800","9",0,16
1,"5","1156410200","9",1,7
1,"9","1156420800","9",0,13
1,"1","1156654000","9",0,20
1,"8","1156620200","9",1,6
1,"10","1156320500","9",1,1
1,"8","1156150900","9",1,24
1,"8","1156110000","9",1,2
1,"8","1156620100","9",1,31
1,"1","1156331100","9",1,16
1,"5","1156440700","9",1,89
1,"1","1156350600","9",0,54
1,"10","1156450100","9",0,1
1,"5","1156610100","9",0,106
1,"7","1156441200","9",1,58
1,"10","1156440400","9",0,958
1,"3","1156321300","9",1,24
1,"2","1156610500","9",0,4
1,"6","1156410100","9",0,110
1,"9","1156140400","9",0,225
1,"1","1156130400","9",0,97
1,"3","1156350600","9",1,32
1,"3","1156220100","9",0,450
1,"3","1156450000","9",1,6
1,"1","1156210200","9",1,5
1,"3","1156210300","9",1,56
1,"2","1156320400","9",1,60
1,"6","1156532500","9",1,28
1,"2","1156130400","9",1,73
1,"4","1156440800","9",1,574
1,"8","1156440300","9",1,2
1,"10","1156371500","9",1,34
1,"9","1156220300","9",0,19
1,"6","1156421300","9",0,18
1,"3","1156610100","9",1,122
1,"1","1156411700","9",0,152
1,"1","1156340800","9",1,17
1,"9","1156350200","9",0,67
1,"6","1156210900","9",0,16
1,"9","1156350800","9",0,32
1,"4","1156510400","9",1,4
1,"9","1156410800","9",0,58
1,"8","1156410100","9",1,68
1,"6","1156520100","9",1,73
1,"7","1156222400","9",1,14
1,"6","1156140800","9",1,1
1,"7","1156140700","9",0,44
1,"1","1156230300","9",1,24
1,"4","1156341100","9",0,67
1,"7","1156361100","9",0,54
1,"10","1156350400","9",1,35
1,"7","1156321100","9",0,77
1,"9","1156110000","9",1,15
1,"5","1156330600","9",1,22
1,"6","1156450900","9",1,35
1,"10","1156141100","9",0,82
1,"9","1156130600","9",1,88
1,"1","1156340100","9",0,3751
1,"5","1156130500","9",1,79
1,"8","1156445100","9",0,498
1,"1","1156450900","9",0,44
1,"6","1156441600","9",1,105
1,"9","1156510300","9",1,20
1,"5","1156370400","9",1,43
1,"1","1156320800","9",1,2
1,"3","1156440300","9",1,59
1,"2","1156350900","9",0,79
1,"5","1156411400","9",0,80
1,"2","1156530500","9",1,5
1,"5","1156450700","9",0,30
1,"6","1156520200","9",0,17
1,"2","1156410800","9",0,48
1,"3","1156330200","9",0,11
1,"1","1156140800","9",0,63
1,"10","1156370300","9",0,56
1,"9","1156442000","9",1,293
1,"5","1156330600","9",0,71
1,"3","1156130200","9",0,143
1,"6","1156341100","9",0,1
1,"5","1156450100","9",0,194
1,"9","1156411600","9",0,8
1,"3","1156231000","9",1,35
1,"5","1156441900","9",1,30
1,"3","1156320200","9",0,12
1,"7","1156410500","9",0,4
1,"2","1156350100","9",1,92
1,"9","1156210200","9",0,66
1,"4","1156130900","9",1,55
1,"8","1156341200","9",0,21
1,"6","1156211200","9",1,1
1,"5","1156360900","9",1,34
1,"10","1156231000","9",0,5
1,"9","1156445200","9",1,319
1,"5","1156350900","9",1,30
1,"5","1156361100","9",1,34
1,"3","1156450200","9",1,24
1,"4","1156210700","9",1,23
1,"9","1156510100","9",1,141
1,"10","1156610700","9",1,9
1,"2","1156440200","9",1,41
1,"1","1156330900","9",0,57
1,"6","1156341500","9",1,5
1,"9","1156131100","9",0,2
1,"8","1156210800","9",1,33
1,"6","1156130100","9",0,4
1,"6","1156420900","9",1,2
1,"4","1156310000","9",0,36
1,"7","1156330800","9",1,5
1,"1","1156370600","9",0,89
1,"3","1156370600","9",1,6
1,"8","1156360400","9",1,27
1,"8","1156440800","9",0,988
1,"4","1156441600","9",1,49
1,"6","1156410600","9",0,17
1,"10","1156220100","9",1,1
1,"8","1156610600","9",1,16
1,"4","1156320500","9",0,1822
1,"6","1156110000","9",1,4
1,"6","1156410200","9",0,67
1,"9","1156320600","9",1,56
1,"3","1156440800","9",0,2877
1,"5","1156360200","9",0,18
1,"5","1156520100","9",0,862
1,"4","1156441200","9",0,544
1,"9","1156141000","9",1,55
1,"9","1156511900","9",0,35
1,"5","1156150500","9",1,51
1,"2","1156370600","9",0,13
1,"3","1156140400","9",1,32
1,"7","1156231200","9",0,428
1,"7","1156341200","9",1,28
1,"3","1156231200","9",1,40
1,"10","1156442000","9",1,580
1,"7","1156220200","9",1,7
1,"4","1156530700","9",1,1
1,"4","1156222400","9",0,110
1,"3","1156610100","9",1,105
1,"4","1156430700","9",0,55
1,"5","1156630100","9",0,10
1,"2","1156130100","9",1,105
1,"5","1156320100","9",0,2
1,"4","1156131000","9",1,51
1,"2","1156440900","9",0,1253
1,"3","1156360700","9",1,1
1,"9","1156320900","9",1,39
1,"9","1156440400","9",0,585
1,"5","1156230600","9",1,36
1,"6","1156350500","9",1,104
1,"6","1156140600","9",1,13
1,"2","1156230400","9",0,14
1,"2","1156320500","9",0,17
1,"8","1156140900","9",0,190
1,"9","1156431000","9",0,3
1,"4","1156130200","9",0,131
1,"8","1156310000","9",1,2
1,"9","1156654000","9",0,1
1,"2","1156522700","9",1,19
1,"2","1156420700","9",0,9
1,"8","1156370300","9",0,10
1,"7","1156320200","9",1,83
1,"3","1156150800","9",0,56
1,"8","1156220100","9",1,66
1,"1","1156350700","9",0,29
1,"2","1156621200","9",0,22
1,"6","1156522300","9",1,12
1,"3","1156371300","9",1,53
1,"10","1156411400","9",1,50
1,"3","1156441400","9",0,648
1,"7","1156320200","9",0,9
1,"7","1156430600","9",0,67
1,"8","1156371000","9",0,37
1,"6","1156410400","9",1,58
1,"1","1156330200","9",1,48
1,"10","1156430100","9",1,2
1,"10","1156360400","9",1,2
1,"3","1156130600","9",1,1
1,"5","1156640100","9",0,32
1,"4","1156532600","9",0,11
1,"10","1156140100","9",0,14
1,"1","1156120000","9",1,53
1,"1","1156210100","9",0,4
1,"2","1156321300","9",0,52
1,"10","1156511900","9",1,13
1,"6","1156511100","9",0,11
1,"3","1156130600","9",1,66
1,"6","1156230800","9",1,31
1,"6","1156340600","9",1,30
1,"4","1156431200","9",1,60
1,"10","1156530100","9",0,332
1,"2","1156440500","9",0,1336
1,"3","1156340100","9",0,125
1,"6","1156360700","9",0,13
1,"10","1156360800","9",0,40
1,"10","1156445300","9",0,314
1,"3","1156440500","9",1,117
1,"2","1156140100","9",1,21
1,"10","1156440900","9",1,350
1,"1","1156442000","9",0,2083
1,"9","1156370100","9",0,9
1,"3","1156120000","9",0,1427
1,"9","1156211400","9",0,18
1,"1","1156441600","9",0,495
1,"9","1156350800","9",1,26
1,"2","1156450200","9",0,41
1,"10","1156430400","9",1,56
1,"3","1156530300","9",1,17
1,"5","1156140500","9",0,45
1,"1","1156640300","9",1,9
1,"3","1156511400","9",1,17
1,"7","1156421100","9",1,2
1,"3","1156411300","9",0,96
1,"2","1156430200","9",1,38
1,"1","1156520500","9",0,37
1,"5","1156341100","9",0,20
1,"7","1156640400","9",0,9
1,"9","1156510600","9",1,24
1,"7","1156130600","9",0,6
1,"4","1156210400","9",0,11
1,"1","1156140300","9",1,29
1,"6","1156530700","9",0,12
1,"1","1156230100","9",0,2
1,"6","1156310000","9",1,1
1,"4","1156520500","9",1,20
1,"4","1156620100","9",0,466
1,"8","1156510100","9",0,26
1,"1","1156120000","9",1,107
1,"6","1156500000","9",1,4
1,"7","1156620100","9",0,64
1,"7","1156440100","9",0,221
1,"1","1156441800","9",1,2
1,"7","1156220700","9",0,112
1,"7","1156511100","9",1,13
1,"9","1156610800","9",1,18
1,"4","1156110000","9",1,257
1,"9","1156370500","9",0,31
1,"1","1156150800","9",1,1
1,"10","1156130200","9",0,4
1,"3","1156513400","9",0,5
1,"4","1156440600","9",0,13
1,"7","1156620100","9",0,7
1,"1","1156150100","9",0,190
1,"5","1156451200","9",1,17
1,"1","1156640100","9",1,21
1,"4","1156420800","9",1,1
1,"2","1156530100","9",1,34
1,"8","1156430900","9",1,30
1,"2","1156130700","9",0,78
1,"4","1156330100","9",0,1
1,"6","1156110000","9",1,1
1,"9","1156441300","9",1,484
1,"3","1156330100","9",0,1
1,"3","1156370500","9",1,2
1,"2","1156510800","9",1,8
1,"3","1156330800","9",0,47
1,"7","1156230700","9",0,13
1,"5","1156350900","9",0,29
1,"10","1156370200","9",1,8
1,"9","1156610900","9",1,14
1,"3","1156370900","9",0,6
1,"4","1156450600","9",0,10
1,"4","1156520300","9",0,13
1,"4","1156130300","9",0,62
1,"6","1156350500","9",1,26
1,"7","1156610700","9",1,1
1,"3","1156370300","9",1,1
1,"7","1156510500","9",0,18
1,"7","1156510700","9",1,28
1,"1","1156220100","9",0,51
1,"2","1156510800","9",0,17
1,"2","1156371000","9",1,68
1,"5","1156510100","9",0,1140
1,"9","1156330200","9",0,2
1,"7","1156232700","9",1,3
1,"5","1156220200","9",0,40
1,"6","1156350100","9",0,1315
1,"4","1156150400","9",0,94
1,"9","1156370700","9",1,40
1,"5","1156450900","9",0,2
1,"8","1156230600","9",0,26
1,"7","1156610500","9",0,47
1,"2","1156650100","9",0,66
1,"4","1156441900","9",1,5
1,"3","1156140900","9",0,31
1,"7","1156210200","9",0,5
1,"3","1156421300","9",1,23
1,"8","1156433100","9",1,17
1,"9","1156420600","9",1,2
1,"3","1156511000","9",1,4
1,"8","1156410100","9",1,4
1,"9","1156420800","9",1,1
1,"4","1156611000","9",0,13
1,"2","1156654200","9",0,16
1,"3","1156410300","9",0,6
1,"2","1156621000","9",0,17
1,"4","1156522700","9",0,26
1,"5","1156230300","9",1,53
1,"3","1156350100","9",0,2
1,"1","1156410300","9",0,35
1,"6","1156410100","9",1,7
1,"4","1156210100","9",1,58
1,"5","1156321000","9",1,41
1,"6","1156530400","9",0,20
1,"1","1156621000","9",1,24
1,"3","1156130900","9",0,70
1,"6","1156210100","9",0,375
1,"6","1156420200","9",1,23
1,"3","1156371600","9",1,26
1,"9","1156530100","9",1,3
1,"10","1156320100","9",1,60
1,"6","1156610600","9",0,27
1,"2","1156440700","9",1,233
1,"4","1156230900","9",1,13
1,"9","1156500000","9",0,2083
1,"7","1156130200","9",1,2
1,"8","1156410700","9",1,36
1,"5","1156350700","9",1,15
1,"5","1156341200","9",1,2
1,"4","1156360500","9",1,4
1,"3","1156230500","9",0,145
1,"7","1156511300","9",0,79
1,"1","1156320300","9",1,27
1,"9","1156520100","9",1,1
1,"6","1156430600","9",1,50
1,"9","1156620900","9",0,12
1,"3","1156441200","9",1,183
1,"2","1156150300","9",0,23
1,"7","1156620600","9",0,1
1,"3","1156130700","9",1,11
1,"2","1156530300","9",0,11
1,"10","1156321000","9",1,35
1,"2","1156130100","9",1,2
1,"1","1156421000","9",1,21
1,"10","1156610900","9",1,1
1,"10","1156440600","9",0,1494
1,"1","1156430100","9",0,9
1,"4","1156622900","9",0,6
1,"3","1156120000","9",1,6
1,"1","1156230800","9",0,17
1,"8","1156450000","9",0,4
1,"2","1156320300","9",0,26
1,"1","1156360800","9",1,28
1,"3","1156511000","9",1,23
1,"6","1156230300","9",0,15
1,"3","1156511800","9",0,18
1,"1","1156230300","9",0,313
1,"7","1156330100","9",0,1618
1,"9","1156220100","9",0,26
1,"10","1156500000","9",0,27
1,"10","1156652300","9",0,21
1,"4","1156140600","9",0,21
1,"10","1156620600","9",0,7
1,"6","1156320800","9",0,2
1,"5","1156110000","9",1,10
1,"7","1156210700","9",0,25
1,"8","1156610200","9",0,8
1,"6","1156140700","9",1,49
1,"2","1156422800","9",1,17
1,"7","1156230100","9",0,2
1,"6","1156211200","9",0,4
1,"9","1156445100","9",0,365
1,"5","1156130200","9",1,13
1,"9","1156440300","9",1,6
1,"9","1156421100","9",0,33
1,"8","1156450500","9",0,39
1,"1","1156370200","9",0,1141
1,"8","1156150700","9",1,49
1,"1","1156610400","9",0,6
1,"9","1156330100","9",0,8
1,"9","1156330200","9",1,1
1,"5","1156210100","9",0,7
1,"4","1156340800","9",0,6
1,"9","1156360900","9",0,4
1,"6","1156511300","9",1,23
1,"9","1156411300","9",1,76
1,"10","1156370300","9",0,6
1,"4","1156210700","9",0,1
1,"2","1156130700","9",0,40
1,"3","1156420300","9",1,12
1,"6","1156230600","9",1,13
1,"2","1156410200","9",0,2
1,"2","1156440900","9",1,94
1,"8","1156431200","9",0,1
1,"9","1156450500","9",1,20
1,"4","1156320500","9",0,128
1,"4","1156350200","9",1,28
1,"4","1156621200","9",1,6
1,"9","1156370400","9",0,71
1,"3","1156410100","9",1,4
1,"9","1156140200","9",1,1
1,"10","1156654000","9",1,7
1,"9","1156140800","9",0,5
1,"3","1156210500","9",1,8
1,"3","1156650100","9",0,10
1,"8","1156341300","9",1,12
1,"6","1156230200","9",1,89
1,"4","1156431100","9",0,22
1,"8","1156411300","9",0,10
1,"1","1156150900","9",0,59
1,"10","1156430500","9",0,44
1,"7","1156110000","9",1,8
1,"8","1156230600","9",1,4
1,"5","1156410800","9",1,18
1,"9","1156360700","9",1,32
1,"1","1156500000","9",1,3
1,"7","1156659000","9",0,12
1,"7","1156450100","9",1,3
1,"7","1156410900","9",0,41
1,"7","1156330300","9",0,26
1,"10","1156370100","9",0,17
1,"9","1156621200","9",0,9
1,"3","1156441500","9",1,127
1,"3","1156210200","9",0,18
1,"10","1156140700","9",0,295
1,"3","1156371200","9",0,110
1,"7","1156211200","9",0,18
1,"4","1156450100","9",0,2
1,"2","1156130400","9",0,237
1,"4","1156520500","9",0,9
1,"8","1156220400","9",1,4
1,"6","1156429000","9",0,28
1,"4","1156210500","9",0,7
1,"1","1156230100","9",1,1
1,"9","1156141100","9",0,354
1,"2","1156110000","9",1,482
1,"8","1156130600","9",0,10
1,"5","1156410100","9",0,1
1,"6","1156350200","9",0,1
1,"9","1156340100","9",1,4
1,"9","1156330200","9",0,1079
1,"3","1156442000","9",1,146
1,"5","1156220600","9",1,7
1,"6","1156512000","9",1,8
1,"5","1156450700","9",1,21
1,"1","1156450800","9",0,33
1,"3","1156441900","9",0,18
1,"4","1156230600","9",1,5
1,"2","1156330200","9",1,4
1,"6","1156310000","9",0,2708
1,"7","1156310000","9",0,2
1,"3","1156331100","9",0,83
1,"9","1156450100","9",0,167
1,"1","1156520600","9",0,26
1,"9","1156420600","9",1,30
1,"3","1156530400","9",0,19
1,"3","1156520500","9",1,4
1,"2","1156330400","9",1,36
1,"7","1156410500","9",0,59
1,"3","1156621100","9",0,10
1,"4","1156520100","9",0,2
1,"1","1156140700","9",0,1
1,"1","1156640400","9",1,7
1,"10","1156220300","9",1,11
1,"1","1156532900","9",0,12
1,"2","1156510300","9",0,12
1,"6","1156120000","9",0,3
1,"9","1156420500","9",0,18
1,"3","1156110000","9",1,7
1,"2","1156360600","9",0,8
1,"9","1156440100","9",1,77
1,"4","1156130300","9",1,6
1,"7","1156231100","9",1,10
1,"6","1156360400","9",0,38
1,"8","1156522300","9",0,23
1,"9","1156211000","9",0,22
1,"5","1156511500","9",1,19
